ProductID,ProductName,Brand,Category,SupplierID,UnitCost,UnitPrice
1,Cisco Catalyst 9300,Cisco,Networking,14,172.86,231
2,Apple MacBook Air M3,Apple,Electronics,42,591.86,792
3,TP-Link TL-SG1024,TP-Link,Networking,14,950.61,1389
4,Dell Latitude 5440,Dell,Electronics,20,564.42,873
5,Cisco Catalyst 9200,Cisco,Networking,6,850.25,1329
6,Cisco Catalyst 9300,Cisco,Networking,62,435.29,631
7,Dell UltraSharp 27,Dell,Electronics,1,148.67,201
8,HP Series 5 Pro,HP,Electronics,48,127.97,199
9,Steelcase Series 1 Chair,Steelcase,Furniture,24,124.95,202
10,HP EliteBook 840,HP,Electronics,50,722.19,1002
11,IKEA Bekant Desk,IKEA,Furniture,9,396.45,573
12,HP EliteBook 840,HP,Electronics,54,518.6,730
13,JK Paper A4 Paper Box,JK Paper,Office Supplies,56,16.32,21
14,Lenovo ThinkVision T24,Lenovo,Electronics,42,94.42,155
15,Apple MacBook Air M3,Apple,Electronics,48,563.65,731
16,Kangaro HD-10 Stapler,Kangaro,Office Supplies,17,9.18,14
17,Cisco Catalyst 9300,Cisco,Networking,55,345.78,513
18,Lenovo ThinkPad T14,Lenovo,Electronics,48,1077.07,1368
19,Cisco Catalyst 9300,Cisco,Networking,14,1037.42,1427
20,Samsung 980 PRO 2TB,Samsung,Storage,18,69.94,101
21,Dell UltraSharp 27,Dell,Electronics,77,170.97,232
22,JK Paper A4 Paper Box,JK Paper,Office Supplies,65,1.94,3
23,Dell Latitude 7450,Dell,Electronics,50,692.76,1060
24,Lenovo ThinkPad T14,Lenovo,Electronics,50,633.85,867
25,Logitech MX Master 3S,Logitech,Accessories,63,28.08,43
26,Apple MacBook Air M3,Apple,Electronics,77,783.71,1201
27,Kingston NV2 1TB,Kingston,Storage,40,142.09,209
28,Apple MacBook Air M3,Apple,Electronics,25,818.18,1171
29,Steelcase Series 1 Chair,Steelcase,Furniture,9,129.9,206
30,Lenovo ThinkPad E16,Lenovo,Electronics,54,772.01,1260
31,Logitech MX Master 3S,Logitech,Accessories,80,59.29,84
32,Samsung 980 PRO 2TB,Samsung,Storage,2,65.53,89
33,Samsung 980 PRO 2TB,Samsung,Storage,23,91.48,147
34,Logitech MX Keys S,Logitech,Accessories,28,52.86,88
35,Epson EcoTank L3250,Epson,Printers,32,305.47,406
36,Samsung 990 PRO 1TB,Samsung,Storage,5,145.13,220
37,Cisco Catalyst 9300,Cisco,Networking,41,332.67,493
38,Lenovo ThinkPad E16,Lenovo,Electronics,77,934.95,1193
39,Cisco Catalyst 9200,Cisco,Networking,55,712.6,1180
40,Lenovo ThinkVision T24,Lenovo,Electronics,48,148.0,242
41,Camlin Whiteboard Marker,Camlin,Office Supplies,52,2.47,4
42,Dell USB-C Dock WD19,Dell,Accessories,11,162.68,216
43,HP ProBook 450,HP,Electronics,73,767.23,1212
44,Samsung 990 PRO 1TB,Samsung,Storage,72,133.2,168
45,Samsung 980 PRO 2TB,Samsung,Storage,18,94.49,139
46,TP-Link TL-SG1024,TP-Link,Networking,55,839.98,1077
47,Logitech Brio 500,Logitech,Accessories,12,45.79,71
48,HP Series 5 Pro,HP,Electronics,1,299.24,421
49,Kingston NV2 1TB,Kingston,Storage,18,37.47,61
50,Cisco Catalyst 9300,Cisco,Networking,6,397.54,648
51,Dell Latitude 7450,Dell,Electronics,50,507.44,722
52,Dell UltraSharp 27,Dell,Electronics,73,162.1,229
53,Epson EcoTank L3250,Epson,Printers,61,309.07,445
54,IKEA Bekant Desk,IKEA,Furniture,33,417.71,613
55,HP EliteBook 840,HP,Electronics,20,908.54,1324
56,Logitech MX Keys S,Logitech,Accessories,60,68.78,89
57,Dell Latitude 7450,Dell,Electronics,20,484.53,712
58,HP Series 5 Pro,HP,Electronics,20,157.66,247
59,Samsung 980 PRO 2TB,Samsung,Storage,59,65.02,95
60,Dell UltraSharp 27,Dell,Electronics,73,191.4,247
61,Dell Precision 3590,Dell,Electronics,73,751.55,1213
62,Cisco Catalyst 9300,Cisco,Networking,6,291.34,371
63,Kangaro HD-10 Stapler,Kangaro,Office Supplies,22,4.77,7
